"baker_name","series","baker_age","baker_occupation","hometown","baker_first_name","episode","signature_bake","show_stopper"
"Ali Imdad",4,25,"Charity worker","Saltley, Birmingham","Ali",1,"Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake"
"Ali Imdad",4,25,"Charity worker","Saltley, Birmingham","Ali",2,"Italian Grissini","Sweet and Savoury Yin Yang Bread"
"Ali Imdad",4,25,"Charity worker","Saltley, Birmingham","Ali",3,"Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops"
"Ali Imdad",4,25,"Charity worker","Saltley, Birmingham","Ali",4,"Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha"
"Alice Fevronia",10,28,"Geography teacher","Essex","Alice",NA,NA,NA
"Alvin Magallanes",6,37,"Nurse","Bracknell, Berkshire","Alvin",1,"Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau"
"Alvin Magallanes",6,37,"Nurse","Bracknell, Berkshire","Alvin",2,"Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps"
"Alvin Magallanes",6,37,"Nurse","Bracknell, Berkshire","Alvin",3,"Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia"
"Alvin Magallanes",6,37,"Nurse","Bracknell, Berkshire","Alvin",4,"Blackberry Crème Brûlées","Tower of Fruits Cheesecakes"
"Alvin Magallanes",6,37,"Nurse","Bracknell, Berkshire","Alvin",5,"Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
"Alvin Magallanes",6,37,"Nurse","Bracknell, Berkshire","Alvin",6,"Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents"
"Amelia LeBruin",10,24,"Fashion designer","Halifax","Amelia",NA,NA,NA
"Andrew Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down","Andrew",1,"Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake"
"Andrew Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down","Andrew",2,"Beehive Biscuits","Punting in Cambridge"
"Andrew Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down","Andrew",3,"Chocolate Barmbrack Bread","Braided Harvest Bread Basket"
"Andrew Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down","Andrew",4,"Yorkshire 'Tapas' Puddings","Churros Window Box"
"Andrew Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down","Andrew",5,"Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites"
"Andrew Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down","Andrew",6,"Tangy Lime and Ginger Meringue Pie","Spring Elderflower Trio"
"Andrew Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down","Andrew",7,"Tropical Holiday Roulade","Childhood Ice Cream Mousse Cakes"
"Andrew Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down","Andrew",8,"Da Vinci Inspired Geared Pies","Jousting Knights Marchpane"
"Andrew Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down","Andrew",9,"Cheesy Elephant Ears and Herby Treble Clefs","Philharmonic Fondants"
"Andrew Smyth",7,25,"Aerospace engineer","Derby / Holywood, County Down","Andrew",10,"Crunchy Caramel Cassis Crown","Family and Friends' Favourites Picnic"
"Annetha Mills",1,30,"Midwife","Essex","Annetha",1,"Light Jamaican Black Cakewith Strawberries and Cream","Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
"Annetha Mills",1,30,"Midwife","Essex","Annetha",2,"Rose Petal Shortbread","Pink Swirl Macarons / Eclairs"
"Antony Amourdoux",9,30,"Banker","London","Antony",NA,NA,NA
"Beca Lyne-Pirkis",4,31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca",1,"Grapefruit Sandwich Cake","Chocolate Cherry Indulgence"
"Beca Lyne-Pirkis",4,31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca",2,"Fennel and Chilli Breadsticks","Five Strand Christmas Wreath"
"Beca Lyne-Pirkis",4,31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca",3,"Orange and Ginger Trifle","Limoncello and Blueberry BurstsMillionaire Shortbread"
"Beca Lyne-Pirkis",4,31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca",4,"Mamgu's Cherry-Apple Tart","Moroccan Vegetable Filo Feast"
"Beca Lyne-Pirkis",4,31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca",5,"Chocolate, Cherry and Hazelnut Brownies","Tiered Macaron and Sugar Dough Biscuit Centrepiece"
"Beca Lyne-Pirkis",4,31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca",6,"Bara Brith","Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns"
"Beca Lyne-Pirkis",4,31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca",7,"Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy","Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille"
"Beca Lyne-Pirkis",4,31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca",8,"Potato, Spelt and Rosemary Focaccia","Spiced Butternut Squash and Pecan 'Cheese' Cake"
"Beca Lyne-Pirkis",4,31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca",9,"Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets","Banoffee Opera Cake"
"Ben Frazer",2,31,"Graphic Designer","Northampton","Ben",1,"Rhubarb and Custard CupcakesAfter Dinner Cupcakes","Vanilla Sponge with White Chocolate and Raspberry Buttercream"
"Ben Frazer",2,31,"Graphic Designer","Northampton","Ben",2,"Chorizo, Pepper and Gruyere Quiche","Lemon Meringue Tarts"
"Ben Frazer",2,31,"Graphic Designer","Northampton","Ben",3,"Walnut, Raisin and Rosemary Loaf","UNKNOWN"
"Ben Frazer",2,31,"Graphic Designer","Northampton","Ben",4,"Stem Ginger Nuts","Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons"
"Benjamina Ebuehi",7,23,"Teaching assistant","South London","Benjamina",1,"Pistachio, Cardamom and Lemon Drizzle Cake","White Chocolate Mirror Glaze with Salted Praline Buttercream"
"Benjamina Ebuehi",7,23,"Teaching assistant","South London","Benjamina",2,"Bouquet Biscuits","New York, New York"
"Benjamina Ebuehi",7,23,"Teaching assistant","South London","Benjamina",3,"Chocolate, Tahini and Almond Babka","Braided Bread Heart"
"Benjamina Ebuehi",7,23,"Teaching assistant","South London","Benjamina",4,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings","Tropical Churros"
"Benjamina Ebuehi",7,23,"Teaching assistant","South London","Benjamina",5,"'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels","Plantain and Spinach Samosas and Chai Pear Cups"
"Benjamina Ebuehi",7,23,"Teaching assistant","South London","Benjamina",6,"Grapefruit and Ginger Meringue Pie","Floral Tea Cake"
"Benjamina Ebuehi",7,23,"Teaching assistant","South London","Benjamina",7,"Piña Colada Roulade","Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake"
"Benjamina Ebuehi",7,23,"Teaching assistant","South London","Benjamina",8,"Mexican Adventure","Tudor Garden"
"Brendan Lynch",3,63,"Recruitment consultant","Sutton Coldfield","Brendan",1,"Plum, Sour Cherry & Walnut","UNKNOWN"
"Brendan Lynch",3,63,"Recruitment consultant","Sutton Coldfield","Brendan",2,"Middle Eastern Taboon BreadIndian Rotis","Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
"Brendan Lynch",3,63,"Recruitment consultant","Sutton Coldfield","Brendan",3,"Apple and Ginger Tarte Tatin","Blackberry, Nectarine and Dragon Fruit Tart"
"Brendan Lynch",3,63,"Recruitment consultant","Sutton Coldfield","Brendan",4,"Clementine and Chestnut Torte","Pear, Chocolate and Hazelnut Dacquoise"
"Brendan Lynch",3,63,"Recruitment consultant","Sutton Coldfield","Brendan",5,"Salmon Coulibiac in a Scandinavian Pastry","All American Chiffon Pie"
"Brendan Lynch",3,63,"Recruitment consultant","Sutton Coldfield","Brendan",6,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel"
"Brendan Lynch",3,63,"Recruitment consultant","Sutton Coldfield","Brendan",7,"Chelsea Bunskis","Black Forest Christmas Stollen"
"Brendan Lynch",3,63,"Recruitment consultant","Sutton Coldfield","Brendan",8,"Multi-Seed Savoury Crackers","Fantasy Gingerbread Bird House"
"Brendan Lynch",3,63,"Recruitment consultant","Sutton Coldfield","Brendan",9,"Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets","Gateau St. Honoré"
"Brendan Lynch",3,63,"Recruitment consultant","Sutton Coldfield","Brendan",10,"Potato and Pepper Pithivier","Family Reunion Chiffon Cake"
"Briony Williams",9,33,"Full-time parent","Bristol","Briony",NA,NA,NA
"Candice Brown",7,31,"PE teacher","Barton-Le-Clay, Bedfordshire","Candice",1,"Raspberry and Rhubarb Drizzle Custard Bundt Cake","Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
